INLINE PersonalDataTable,Full Name,Pronouns,Hobby,Birthday,Age,Height,Promo,Desc
0x0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0x01 Klaudia,KlaudiaFullName,SheHer,KlaudiaHobby,KlaudiaBirthday,Age21,SixFoot,HighGremoryName,KlaudiaPromoDesc
0x02 Zero,ZeroFullName,HeHim,ZeroHobby,ZeroBirthday,Age49,FiveFootNine,NAPromo,PrepromotePromoDesc
0x03 Josephine,JosephineFullName,SheThey,JosephineHobby,JosephineBirthday,Age28,FiveFootEight,ThaumachineName,JosephinePromoDesc
0x04 Emerson,EmersonFullName,TheySheHe,EmersonHobby,EmersonBirthday,Age21,FiveFootFive,JuggernautName,EmersonPromoDesc
0x05 Beth,BethFullName,SheHer,BethHobby,BethBirthday,Age14,FiveFootOne,StarostaName,BethPromoDesc
0x06 Cam,CamFullName,SheHe,CamHobby,CamBirthday,Age25,FiveFootNine,BerserkerName,CamPromoDesc
0x07 Giselle,GiselleFullName,SheHer,GiselleHobby,GiselleBirthday,Age17,FiveFootTwo,RogueName,GisellePromoDesc
0x08 Levia,LeviaFullName,SheHer,LeviaHobby,LeviaBirthday,Age21,FiveFootSeven,VioletKnightName,LeviaPromoDesc
0x09 Stuart,StuartFullName,StuartFunnyPronouns,StuartHobby,StuartBirthday,Age28,StuartFunnyHeight,DreadnoughtName,StuartPromoDesc
0x0A Bear,BearFullName,HeHim,BearHobby,BearBirthday,Age24,SixFootFive,VarangianName,BearPromoDesc
0x0B Estella,EstellaFullName,SheHer,EstellaHobby,EstellaBirthday,Age17,FiveFootTwo,GendarmeName,EstellaPromoDesc
0x0C Carina,CarinaFullName,SheHer,CarinaHobby,CarinaBirthday,Age31,FiveFootEleven,ValkyrieName,CarinaPromoDesc
0x0D Nirav,NiravFullName,TheyShe,NiravHobby,NiravBirthday,Age28,FiveFootThree,MelusineName,NiravPromoDesc
0x0E Alma,AlmaFullName,HeThey,AlmaHobby,AlmaBirthday,Age27,FiveFootEight,NecromancerName,AlmaPromoDesc
0x0F Roswell,RoswellFullName,TheyThem,RoswellHobby,RoswellBirthday,Age23,SixFootTwo,ForestierName,RoswellPromoDesc
0x10 Hong Chen,HongChenFullName,TheyHe,HongChenHobby,HongChenBirthday,Age32,FiveFootSix,TruebladeName,HongChenPromoDesc
0x11 Darina,DarinaFullName,SheHer,DarinaHobby,DarinaBirthday,Age35,FiveFootTen,AdventurerName,DarinaPromoDesc
0x12 Eugenia,EugeniaFullName,SheThey,EugeniaHobby,EugeniaBirthday,Age35,SixFootOne,StrategistName,EugeniaPromoDesc
0x13 Maris,MarisFullName,SheHer,MarisHobby,MarisBirthday,Age21,FiveFootFour,StarseerName,MarisPromoDesc
0x14 Phillipa,PhillipaFullName,SheHer,0x0000,0x0000,Age23,FiveFootNine,PaladinName,PhillipaPromoDesc
0x15 Maeve,MaeveFullName,SheHer,0x0000,0x0000,0x0000,FiveFootSix,RangerName,MaevePromoDesc
0x16 Evren,EvrenFullName,HeThey,0x0000,0x0000,0x0000,FiveFootEleven,NAPromo,PrepromotePromoDesc
0x17 Dane,DaneFullName,HeHim,0x0000,0x0000,0x0000,FiveFootTen,MarksmanName,0x0000
0x18 Ulrich,UlrichFullName,HeHim,0x0000,0x0000,0x0000,FiveFootThree,SeraphWingName,0x0000
0x19 Evie,EvieFullName,SheThey,0x0000,0x0000,0x0000,FiveFootThree,DaemonWingName,0x0000
0x1A Maybelline,MaybellineFullName,SheHer,0x0000,0x0000,0x0000,0x0000,HeroName,0x0000
0x1B Lux,LuxFullName,HeHim,0x0000,0x0000,0x0000,FiveFootEight,HalberdierName,0x0000
0x1C Murtaza,MurtazaFullName,HeHim,MurtazaHobby,MurtazaBirthday,Age28,FiveFootSeven,MawlawiName,0x0000
